question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
Grignard reagent reacts with formaldehyde to produce:,,Chemistry,Organic Chemistry,Grignard Reagent,1,Medium,An acid,,A primary alcohol,,An anhydride,,A secondary alcohol,,2
Cane sugar on hydrolysis gives:,,Chemistry,Organic Chemistry,Hydrolysis,1,Easy,Glucose and fructose,,Fructose and lactose,,Glucose and lactose,,Glucose and ribose,,1
Which of the following named reactions converts a ketone into a hydrocarbon?,,Chemistry,Organic Chemistry,Named Reactions,1,Hard,Reimer-Tiemann reaction,,Friedel-Craft reaction,,Wolf-Kishner reduction,,Perkin’s reaction,,3
Formaldehyde condenses with phenol in dil. acid to give,,Chemistry,Organic Chemistry,Phenol Reactions,1,Medium,Paraform,,Nobel’s oil,,Trioxane,,Bakelite,,4
When ethanol is heated with excess sulphuric acid at 170°C it will give water and,,Chemistry,Organic Chemistry,Dehydration of Ethanol,1,Medium,Ethyl hydrogen sulphate,,Methoxy methane,,Ethane,,Ethene,,4
Which of the following types of compounds forms zwitter ion?,,Chemistry,Organic Chemistry,Amino acids,1,Medium,Carbohydrates,,Alpha amino acids,,Nucleic acids,,Lipids,,2
Which of the following compounds cannot be synthesized by the Wurtz reaction?,,Chemistry,Organic Chemistry,Wurtz Reaction,1,Medium,Ethane,,Butane,,Hexane,,Methane,,4
The number of structural isomers that can exist for the compound C₆H₁₄ are,,Chemistry,Organic Chemistry,Isomerism,1,Hard,4,,5,,6,,7,,3
In which of the following compound nitrogen cannot be detected by the use of Lassaigne test?,,Chemistry,Organic Chemistry,Detection of Elements,1,Medium,NH₂NH₂,,C₆H₅NH₂,,CH₃NO₂,,NH₂CONH₂,,3
In the galvanization process iron sheets are coated with,,Chemistry,Metallurgy,Galvanization,1,Easy,Ga,,Cu,,Zn,,Hg,,3
Diamond is hard because,,Chemistry,Solid State,Diamond,1,Medium,It is crystalline allotrope of carbon,,It is a giant molecule,,All valence electrons of C atoms are involved in bonding,,It has high refractive index,,3
In Down’s process NaCl is fused with CaCl₂ to,,Chemistry,Metallurgy,Down’s Process,1,Medium,Decrease the ionization of NaCl,,Increase the ionization of NaCl,,Decrease the melting point of NaCl,,Increase the melting point of NaCl,,3
Leaching of ores is a process of,,Chemistry,Metallurgy,Leaching,1,Medium,Concentration,,Refining,,Reduction,,Calcination,,1
The solubility product of a sparingly soluble salt A₂B is 4.0 × 10⁻¹² at 298K. Its molar solubility will be,,Chemistry,Equilibrium,Solubility Product,1,Hard,4.0×10⁻³,,4.0×10⁻⁶,,1.0×10⁻⁶,,1.0×10⁻⁴,,3
The electrode reaction on the left hand side electrode of an electro-chemical cell with positive cell potential is,,Chemistry,Electrochemistry,Cell Reaction,1,Medium,Displacement reaction,,Oxidation reaction,,Reduction reaction,,Decomposition reaction,,2
Which of the following salts of sodium in water is alkaline in nature?,,Chemistry,"Acids, Bases & Salts",Nature of Salts,1,Medium,Sodium chloride,,Ammonium chloride,,Potassium nitrate,,Sodium acetate,,4
Molecular weight of a volatile compound is equal to,,Chemistry,Mole Concept,Vapour Density,1,Easy,Its vapour density,,Square of its vapour density,,Double of its vapour density,,Half of its vapour density,,3
Which of the following gives ppt. in an acidic solution?,,Chemistry,Qualitative Analysis,Precipitation,1,Medium,Hg²⁺ + H₂S → HgS + 2H⁺,,Mn²⁺ + H₂S → MnS + 2H⁺,,Ni²⁺ + H₂S → NiS + 2H⁺,,Zn²⁺ + H₂S → ZnS + 2H⁺,,1
Which of the following gives acetone on dry distillation?,,Chemistry,Organic Chemistry,Acetone Formation,1,Medium,Mixture of calcium formate and calcium acetate,,Calcium formate,,Calcium acetate,,Calcium formate + formaldehyde,,1
"A metallic carbide on reaction with water gives a hydrocarbon which readily burns in oxygen and it gives Tollen’s test, the hydrocarbon is",,Chemistry,Organic Chemistry,Hydrocarbons,1,Medium,Methane,,Ethane,,Ethene,,Ethyne,,4
Tetraethyl lead is,,Chemistry,Organic Chemistry,Lead Compounds,1,Easy,Fire extinguisher,,Pain killer,,Fuel additive,,Antiseptic,,3
Which of the following gives metal on heating?,,Chemistry,Metallurgy,Thermal decomposition,1,Medium,Ca(NO₃)₂,,NaNO₃,,Hg(NO₃)₂,,Pb(NO₃)₂,,3
"When Sodium chloride is electrolyzed, which of the reaction occurs at anode?",,Chemistry,Electrochemistry,Electrolysis of NaCl,1,Hard,Na⁺ + 1e⁻ → Na,,Na → Na⁺ + 1e⁻,,2Cl⁻ → Cl₂ + 2e⁻,,Cl₂ + 2e⁻ → 2Cl⁻,,3
Iodoform test is given by,,Chemistry,Organic Chemistry,Iodoform Test,1,Medium,1-propanone,,2-propanone,,3-propanone,,Propanal,,2
Which of the following dye is an azo dye?,,Chemistry,Organic Chemistry,Dyes,1,Medium,Methyl orange,,Phenolphthalein,,Malachite,,Methylene green,,1
The protein coat of the Virus is called,,Chemistry,Microbiology,Virus Structure,1,Easy,Capsid,,Capsule,,Operculum,,Theca,,1
Nitrogen fixation is done by,,Botany,Botany,Nitrogen Fixation,1,Medium,Red algae,,Blue green algae,,Brown algae,,Green algae,,2
Mucor is commonly called as,,Botany,Mycology,Fungi,1,Medium,Water mould,,White rust,,Blue mould,,Pin mould,,4
Apogamous sporophyte formed in ferns is,,Botany,Botany,Reproduction in Plants,1,Medium,Haploid,,Diploid,,Triploid,,Tetraploid,,2
Winged pollen is found in,,Botany,Botany,Pollen,1,Medium,Rose,,Ferns,,Pine,,Eucalyptus,,3
Cyathium in fluorescence is found in,,Botany,Botany,Inflorescence,1,Medium,Euphorbia,,Brassica,,Potato,,Coleus,,1
Formation of fruit without fertilization is called,,Botany,Botany,Reproduction,1,Medium,Polygamy,,Parthenocarpy,,Polyembryony,,Parthenogenesis,,2
Which of the following is not a member of Gramineae?,,Botany,Botany,Taxonomy,1,Medium,Oryza sativa,,Zea mays,,Triticum vulgare,,Allium cepa,,4
Pentose sugar is:,,Botany,Biomolecules,Carbohydrates,1,Easy,Monosaccharide,,Disaccharide,,Polysaccharide,,Complex carbohydrate,,1
A typical embryo sac of angiosperm has:,,Botany,Reproduction in Plants,Embryo sac,1,Medium,6 cells,,7 cells,,8 cells,,9 cells,,3
"In flowering plants, meiosis occurs during the time of",,Botany,Reproduction in Plants,Meiosis,1,Medium,Formation of pollen grains,,Germination of seeds,,Fertilization,,Formation of buds,,1
Double fertilization is characteristic of:,,Botany,Reproduction in Plants,Fertilization,1,Medium,Bryophytes,,Pteridophytes,,Gymnosperms,,Angiosperms,,4
Biofertilizers:,,Botany,Ecology,Biofertilizers,1,Medium,Low cost input and do not pollute the environment,,High cost input and do not pollute the environment,,Low cost input but pollutes the environment,,High cost input and pollute the environment,,1
Hybrids are often superior over their parents. The phenomenon is called:,,Botany,Genetics,Hybridization,1,Medium,Emasculation,,Heterosis,,Inter specific hybridization,,Insemination,,2
Which one is the World Natural Heritage site?,,Botany,Conservation,World Heritage Sites,1,Medium,Sagarmatha National Park,,Annapurna Conservation Area,,Langtang National Park,,Rara National Park,,1
"When a dihybrid ratio is obtained in a ratio of 1:4:6:4:1 instead of 9:3:3:1, it represents",,Botany,Genetics,Gene Interaction,1,Hard,Complementary genes,,Supplementary genes,,Polygenic inheritance,,Pleiotropic genes,,3
"In which stage of the meiotic cell division, crossing over occurs?",,Botany,Cell Division,Meiosis,1,Medium,Diplotene,,Pachytene,,Leptotene,,Anaphase,,2
Which organelle in cell consists of Grana and Stroma?,,Botany,Cell Biology,Chloroplast,1,Easy,Mitochondria,,Golgi bodies,,Plastids,,Ribosomes,,3
Bioassay for Auxin is done with,,Botany,Plant Physiology,Plant Hormones,1,Medium,Avena curvature test,,Seed dormancy test,,Green leaf test,,Dwarf maize test,,1
Krebs cycle is involved in,,Botany,Plant Physiology,Respiration,1,Medium,Osmosis,,Photosynthesis,,Respiration,,Transpiration,,3
Which one of the following tissue is found only on dicot plants?,,Botany,Plant Anatomy,Plant Tissues,1,Medium,Xylem,,Collenchyma,,Phloem,,Chlorenchyma,,2
Perianth represented by lodicules is found in the family,,Botany,Plant Morphology,Floral Families,1,Medium,Cruciferae,,Gramineae,,Solanaceae,,Liliaceae,,2
Tuber of potato is a modification of,,Botany,Plant Morphology,Modifications of Stem,1,Easy,Root,,Stem,,Fruit,,Seed,,2
Sub-aerial modification of stem that takes part in vegetative propagation in water lettuce (Pistia) is called,,Botany,Plant Morphology,Vegetative Propagation,1,Medium,Stolon,,Sucker,,Offset,,Runner,,3
Akinetes occur in,,Botany,Botany,Algae,1,Medium,Nostoc,,Mucor,,Marchantia,,Pteridium,,1
"The thin, delicate membrane just attached to the cytoplasm is",,Botany,Cell Biology,Membrane System,1,Medium,Ectoplasm,,Endoplasm,,Tonoplast,,Protoplasm,,3
Rooting hormone is,,Botany,Plant Physiology,Hormones,1,Easy,IAA,,Ethylene,,GA₃,,Zeatin,,1
Bicollateral vascular bundles are found in,,Botany,Plant Anatomy,Vascular Bundles,1,Medium,Mustard,,Cucurbits,,Pea,,Rice,,2
Which one of the following leads to wastage of energy?,,Botany,Plant Physiology,Energy Loss,1,Medium,Kreb’s reaction,,Photosynthesis,,Photorespiration,,Glycolysis,,3
A cross between F1 hybrid and the recessive parent is:,,Botany,Genetics,Test Cross,1,Medium,Back cross,,Test cross,,Monohybrid cross,,Dihybrid cross,,2
The respiration is represented by the general formula,,Botany,Plant Physiology,Respiration,1,Medium,C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O + 686 Kcal,,C₆H₁₂O₆ + 6O₂ → 6CO₂ + 12H₂O + 747 Cal,,C₆H₁₂O₆ + 6O₂ → 6CO₂ + 9H₂O + 647 Cal,,C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O + 80 Kcal,,1
Which of the following cell organelle serves as a site for synthesis of lipids?,,Botany,Cell Biology,Cell Organelles,1,Medium,RER (Rough Endoplasmic Reticulum),,SER (Smooth Endoplasmic Reticulum),,Golgi bodies,,Nucleoplasm,,2
Thickest chromosome is found in which stage of meiotic cell division?,,Botany,Cell Division,Chromosomes,1,Medium,Leptotene,,Zygotene,,Pachytene,,Diplotene,,3
One Barr body is present in male. It is a case of,,Botany,Genetics,Chromosomal Disorders,1,Hard,Normal male,,Turner’s syndrome,,Klinefelter’s syndrome,,Jacob’s syndrome,,3
Which of the following does not require carrier molecules during transport through cell membranes?,,Botany,Cell Biology,Membrane Transport,1,Medium,Simple diffusion,,Facilitated diffusion,,Na⁺-K⁺ transport,,Active transport of sugar and amino acids,,1
A plant has number of chromosome groups arranged at equatorial plane of metaphase-I whose 2n=50; the number of chromosomes visible will be:,,Botany,Genetics,Cell Division,1,Medium,100,,25,,50,,75,,2
High amount of Escherichia coli in water is an indicator of:,,Botany,Ecology,Water Pollution,1,Easy,Hardness of water,,Sewage pollution,,Industrial pollution,,Presence of chlorine in water,,2
Which is true about regarding in BOD?,,Botany,Ecology,BOD,1,Medium,BOD is not similar in function to chemical oxygen demand,,BOD does not measure the organic compound present in water,,The BOD value is most commonly expressed in litre,,BOD value is increased rapidly when sewage is mixed with water,,4
Allelopathy is due to secretion of:,,Botany,Ecology,Plant Interaction,1,Medium,Pheromones,,Toxin,,Chemicals,,Poison,,3
Green house effect is due to the presence of large amount of:,,Botany,Ecology,Greenhouse Effect,1,Medium,Carbon dioxide,,Ozone layer,,Water vapour,,Infrared light,,1
The type of cleavage in frog’s zygote is:,,Botany,Zoology,Embryology,1,Medium,Holoblastic and equal,,Holoblastic and unequal,,Meroblastic,,Diploblastic,,2
First attempt to explain organic evolution was done by:,,Botany,Evolution,Theories of Evolution,1,Easy,Hugo de Vries,,Lamarck,,Mendel,,Charles Darwin,,2
The fossil of the Cro-Magnon man was discovered by:,,Botany,Evolution,Human Evolution,1,Medium,Fuhlrott,,Mac Gregor,,Gregor Mendel,,Wallace,,1
Modification of snout into beak in the adaptation of:,,Botany,Zoology,Adaptations,1,Medium,Cursorial,,Amphibian,,Volant,,Aquatic,,3
Visit of honey bee to flower is:,,Botany,Zoology,Animal Behaviour,1,Medium,Klinotaxis,,Telotaxis,,Menotaxis,,Mnemotaxis,,3
In man calcitonin is secreted by:,,Botany,Human Physiology,Hormones,1,Medium,Thyroid gland,,Adrenal gland,,Pituitary gland,,Sweat gland,,1
Number of false ribs in human body is:,,Botany,Human Anatomy,Skeleton,1,Easy,Two pairs,,Three pairs,,Six pairs,,Twelve pairs,,3
Humerus differs from femur in having:,,Botany,Human Anatomy,Skeleton,1,Medium,Neural spine,,Glenoid cavity,,Sigmoid notch,,Deltoid ridge,,4
Typhoid is caused by,,Botany,Human Diseases,Typhoid,1,Easy,Helicobacter,,Giardia,,Salmonella,,Mycobacterium,,3
Which of the following nerve is not a sensory?,,Botany,Nervous System,Cranial Nerves,1,Medium,Oculomotor,,Olfactory,,Auditory,,Optic,,1
The total duration of the cardiac cycle in man is,,Botany,Circulatory System,Cardiac Cycle,1,Medium,1 minute,,1.2 minutes,,0.6 second,,0.8 seconds,,4
Spleen in vertebrates is related to,,Botany,Human Anatomy,Spleen,1,Medium,Production of trypsin,,Storage of RBC,,Production of bile,,Storage of fat,,2
Cushing’s disease is due to hyper secretion of,,Botany,Endocrinology,Hormonal Disorders,1,Hard,Pituitary gland,,Thyroid gland,,Adrenal cortex,,Adrenal medulla,,3
The pacemaker is located at the,,Botany,Circulatory System,Heartbeat,1,Medium,Left atrium,,Right atrium,,Left ventricle,,Right ventricle,,2
Seminal vesicles in earthworm are present along the segments:,,Botany,Zoology,Reproductive System,1,Medium,9th and 10th,,11th and 12th,,10th and 11th,,12th and 13th,,3
Signet ring stage of plasmodium occurs in the stage of:,,Botany,Zoology,Malaria Parasite,1,Medium,Sporogony,,Gametogony,,Pre-erythrocytic,,Erythrocytic,,4
Brachial arteries supply the blood to the,,Botany,Circulatory System,Arteries,1,Medium,Heart,,Liver,,Arms,,Legs,,3
Housefly belongs to the class:,,Botany,Zoology,Classification,1,Easy,Crustacea,,Myriapoda,,Arachnida,,Insects,,4
The study of wounds in medical zoology is called:,,Botany,Zoology,Applied Zoology,1,Medium,Toxicology,,Traumatology,,Trophology,,Trichology,,2
Vertebral column of the vertebrates is originated from:,,Botany,Embryology,Vertebral Column,1,Medium,Neural tube,,Notochord,,Ectodermal plate,,Mesodermal plate,,4
Struggle for existence is one of the postulates of,,Botany,Evolution,Darwinism,1,Medium,Hugo de Vries,,Lamarck,,Charles Darwin,,Weismann,,3
Cells producing heparin and histamine are:,,Botany,Immunology,Immune Cells,1,Medium,Plasma cells,,Mast cells,,Fibroblast cells,,Macrophages,,2
The hormone responsible for the attachment of embryo to the wall of uterus is known as:,,Botany,Reproduction,Pregnancy Hormones,1,Medium,Estrogen,,Progesterone,,Relaxin,,Epinephrine,,2
Brunner’s gland in the mammalian gut is present in the submucosa of,,Botany,Digestive System,Glands,1,Medium,Stomach wall,,Ileum wall,,Duodenal wall,,Oesophagus wall,,3
Bohr’s effect is the,,Botany,Physiology,Respiration,1,Hard,Mass movement of Na⁺ ions from axoplasm to interstitial fluid,,Dissociation of oxyhaemoglobin in blood capillaries due to CO₂,,Exchanging HCO₃⁻ of RBC and Cl⁻ of plasma,,Effect of neurohormones on pacemaker,,2
The innominate vein in frog is formed by the union of,,Botany,Zoology,Circulatory System,1,Medium,Brachial and musculocutaneous,,Internal jugular and subscapular,,Lingular and mandibular,,Right and left pelvic veins,,2
Ovary in Pheretima posthuma lies attached to the septum between the,,Botany,Zoology,Reproductive System,1,Medium,8th & 9th segment,,10th & 11th segment,,12th & 13th segment,,17th & 18th segment,,2
Nuclear dimorphism is well distinct in,,Botany,Protozoology,Nuclear Dimorphism,1,Medium,Paramecium,,Euglena,,Trypanosoma,,Monocystis,,1
Erythrocytic life cycle of Plasmodium occurs in:,,Botany,Zoology,Malaria Parasite,1,Medium,WBC,,RBC,,Liver,,Mosquito,,2
Which of the following vertebra is amphicoelous in frog?,,Botany,Zoology,Vertebral Column,1,Medium,Eighth vertebrae,,Ninth vertebrae,,Typical vertebrae,,Axis,,4
Pinna is the characteristic of:,,Botany,Zoology,Organs,1,Easy,Vertebrates,,Invertebrates,,Chordates,,Mammals,,4
The cells which do not divide:,,Botany,Cell Biology,Cell Cycle,1,Medium,Neuron,,Muscular,,Blood cell,,Bone cell,,1
Which centre is stimulated during increase in body temperature?,,Botany,Physiology,Thermoregulation,1,Medium,Anterior hypothalamus,,Posterior hypothalamus,,Red nucleus,,Limbic System,,1
Exoerythrocytic cycle is absent in malaria caused by which species of plasmodium?,,Botany,Parasitology,Plasmodium,1,Hard,P. vivax,,P. falciparum,,P. malariae,,P. ovale,,2
Process of asexual reproduction in paramecium in which one individual produces four daughter paramecia is called?,,Botany,Zoology,Reproduction,1,Medium,Autogamy,,Cytogamy,,Endomixis,,Hemixis,,4
Asexual reproduction by gemmation takes place in:,,Botany,Zoology,Reproduction,1,Medium,Spongillae,,Leucosolenia,,Euspongia,,Hippospongia,,1
Gastrovascular cavity is divided into compartments in:,,Botany,Zoology,Anatomy of Coelenterates,1,Medium,Hydrozoa,,Scyphozoa,,Anthozoa,,None,,3
The secretion of Mehlis gland:,,Botany,Zoology,Reproduction,1,Medium,Helps in formation of egg shell,,Lubricate the passage,,Helps in fertilization,,Deposit yolk around zygote of egg in uterus,,1
Camel’s hump is made up of:,,Botany,Zoology,Adaptations,1,Easy,Skeletal tissue,,Muscular tissue,,Cartilage,,Adipose tissue,,4
Major constituent of bone is:,,Botany,Human Anatomy,Bone Composition,1,Medium,Calcium phosphate,,Magnesium phosphate,,Calcium carbonate,,Sodium chloride,,1
Arrange the given words in meaningful sequence: 1. Frog 2. Eagle 3. Grasshopper 4. Snake 5. Grass,,MAT,Logical Reasoning,Sequencing,1,Medium,"1,3,5,4,2",,"3,4,2,5,1",,"5,3,1,4,2",,"3,2,5,1,4",,1
What will replace the question mark? 5 : 124 :: 7 : ?,,MAT,Quantitative Aptitude,Analogy,1,Medium,125,,248,,342,,343,,4
"Find odd one out: Ginger, Onion, Beetroot, Coriander, Potato",,MAT,Logical Reasoning,Odd One Out,1,Medium,Ginger,,Onion,,Beetroot,,Coriander,,4
"Complete the series: 1, 9, 25, 49, ?, 121",,MAT,Quantitative Aptitude,Series Completion,1,Medium,64,,81,,91,,100,,3
Rohit is seventeenth from the left end of a row of 29 boys and Karan is seventeenth from the right end in same row. How many boys are there between them in the row?,,MAT,Logical Reasoning,Ranking,1,Medium,3,,5,,6,,Data inadequate,,2
"Laxaman went 15 kms to west from my house, then turned left and walked 20 kms. He then turned east and walked 25 kms and finally turning left covered 20 kms. How far was he from his house?",,MAT,Logical Reasoning,Direction Test,1,Hard,5 kms,,10 kms,,40 kms,,80 kms,,2
"If APPLE is coded as ETTPI, then MANGO is coded as",,MAT,Logical Reasoning,Coding,1,Medium,QERKS,,NBOPH,,OCPIQ,,PDQII,,4
A takes 4 days more and B takes 9 days more than the time taken by A and B together. In how many days will they finish the work together?,,MAT,Quantitative Aptitude,Work and Time,1,Hard,3,,6,,8,,12,,2
A trader gains 15% after selling an item 10% discount on the printed price. The ratio of the cost price and the printed price is,,MAT,Quantitative Aptitude,Profit & Loss,1,Medium,18:23,,17:18,,17:23,,18:25,,3
The areas of two equilateral triangles are in the ratio 25:36. Their altitude are in the ratio,,MAT,Quantitative Aptitude,Geometry,1,Medium,36:25:00,,25:36:00,,5:6,,√5:√6,,3
A circle and a square have the same area. The ratio of the side of the square and the radius of the circle is,,MAT,Quantitative Aptitude,Mensuration,1,Hard,√π : 1,,1 : √π,,π : 1,,1 : π,,1
Mina’s age after 15 years will be 5 times her age 5 year back. What is Mina’s percent age?,,MAT,Quantitative Aptitude,Age Problems,1,Medium,5 y,,10 y,,15 y,,50 y,,2
Average of first 60 natural numbers,,MAT,Quantitative Aptitude,Average,1,Easy,31.2,,30.5,,32.5,,33.5,,4
"If Force, Length and Time are taken as fundamental unit, then the dimension of mass will be:",,Physics,Units & Dimensions,Dimensions,1,Medium,F L⁻¹T²,,F L⁰T²,,F L²T²,,F L⁻¹T⁻²,,4
The energy density of a wire of strain S is,,Physics,Properties of Matter,Elasticity,1,Medium,S²/2Y,,S²Y/2,,2S²Y,,2Y/S²,,1
Two long tubes connected in series of radius r₁ and r₂ then velocity of fluid in two tubes are in ratio:,,Physics,Properties of Matter,Fluid Motion,1,Hard,r₂/r₁,,r₁/r₂,,r₁²/r₂²,,r₂²/r₁²,,2
"If the density of air is neglected, then radius of liquid drop with density 900 kg/m³ moving in air with coefficient of viscous medium 1.85×10⁻⁵ Ns/m² with terminal velocity 2.8×10⁻⁴ m/s is:",,Physics,Properties of Matter,Viscosity,1,Hard,1.6 μm,,1.6 mm,,1.6 cm,,1.6 nm,,3
"The block of wood floats in the water with 2/3 of its volume submerged, then density of liquid:",,Physics,Properties of Matter,Archimedes Principle,1,Medium,0.66 g/cm³,,0.33 g/cm³,,1 g/cm³,,0.56 g/cm³,,1
The emf produced in a straight conductor of length 1m moving with 100 m/s perpendicular to magnetic field of B=1mT is:,,Physics,Electromagnetism,Electromagnetic Induction,1,Easy,0.1 V,,0.5 V,,0.4 V,,0.6 V,,3
"Two bodies are moving with velocities v₁ and v₂ respectively. v₁ is along X-axis and v₂ moving in the first quadrant, makes an angle θ with v₁. The relative velocity of v₁ with respect to v₂ X-component of v₂ will be:",,Physics,Mechanics,Relative Velocity,1,Hard,v₁ – v₂ cosθ,,v₁ – v₂ sinθ,,v₁cosθ – v₂,,v₁sinθ + v₂,,1
The value of acceleration due to gravity at a depth below earth’s surface is one-fourth its value on the surface. The depth will be nearly:,,Physics,Gravitation,Variation of g,1,Medium,3/4R,,√2/3R,,1/2R,,1/4R,,2
A particle is vibrating in an SHM of amplitude A. At what distance from equilibrium position its potential and kinetic energies be equal?,,Physics,Oscillation,SHM,1,Medium,√3/2 A,,A/√2,,A/2,,√3/4 A,,2
Two spherical body of radius R and 2R of same material at equal temperature have heat in the ratio:,,Physics,Heat,Radiation,1,Hard,1:2,,1:4,,1:8,,01:16,,2
"The ratio of maximum wavelength of Sun and Moon is in the ratio 1:400, what is the ratio of their temperature?",,Physics,Heat,Wien’s Law,1,Medium,200:1,,400:1,,04:20,,07:40,,1
Phase difference between two waves y₁=asinωt and y₂=acosωt:,,Physics,Waves,Phase Difference,1,Easy,0°,,π,,π/2,,3π/4,,3
Find the % change in tension of wire if its frequency is doubled.,,Physics,Waves,Vibrations of Strings,1,Medium,50%,,125%,,100%,,300%,,3
A person can't see object lying above 50 cm from the eye. What is the focal length of lens to be used to correct the defect of vision?,,Physics,Optics,Defects of Vision,1,Medium,-50 cm,,#ERROR!,,#ERROR!,,-100 cm,,1
The time of exposure of camera is 4 sec. What will be the time of exposure if its aperture is doubled?,,Physics,Optics,Camera,1,Medium,1 sec,,2 sec,,3 sec,,8 sec,,2
"Fringe width between two consecutive fringes is 11780 Å and the slit separation is 0.1 mm. If the distance between screen and slit is 0.2 mm, then wavelength of light used is:",,Physics,Optics,Young’s Experiment,1,Hard,5890 Å,,58900 Å,,589 Å,,8950 Å,,1
"The refractive index of glass is 1.5. Then, for which color of light velocity of light is minimum?",,Physics,Optics,Refraction,1,Easy,Violet,,Red,,Yellow,,Green,,1
The refractive index of glass is 1.5 and water is 1.33. Then what is the critical angle for glass-water interface?,,Physics,Optics,Critical Angle,1,Medium,54.6°,,48°,,62.73°,,56°,,3
"If Vrms=220V and Irms=0.5A and capacitance is 7.2μF, then the frequency of AC is:",,Physics,AC Circuits,AC Frequency,1,Medium,50 Hz,,20 Hz,,80 Hz,,90 Hz,,2
If potential of one small drop is V₀ and n such identical drops coalesce together then final potential of larger drop is:,,Physics,Electrostatics,Potential,1,Medium,V = n^(1/3) V₀,,V = n^(2/3) V₀,,V = V₀,,V = n^(5/3) V₀,,1
"If Cu and Ag voltameter are connected in series and same amount of current is passed for same time, when mass of Ag deposited is x mg then mass of Cu deposited in mg will be:",,Physics,Electrochemistry,Faraday’s Law,1,Hard,29x/108,,108x/29,,108/29,,29/108,,2
"If an electron is released in electric field of strength 1 N/C, then the acceleration of electron will be:",,Physics,Electrostatics,Electron Motion,1,Medium,10¹⁰ m/s²,,1.7×10¹¹ m/s²,,1×10¹² m/s²,,None,,2
A wire of resistance 16Ω is bent into circular form. Then equivalent resistance between two points of any diameter is:,,Physics,Electricity,Resistance,1,Medium,8Ω,,32Ω,,16Ω,,4Ω,,1
"If the λ of electron is 1Å and Planck’s constant h=6.6×10⁻³⁴ Js, then find the momentum of electron:",,Physics,Modern Physics,de Broglie Equation,1,Medium,3.3×10⁻²² kg·ms⁻¹,,6.6×10⁻²⁴ kg·ms⁻¹,,6.6×10⁻²² kg·ms⁻¹,,6.6×10⁻³⁴ kg·ms⁻¹,,3
The approx radius of nucleus of Cu in Fermi is:,,Physics,Nuclear Physics,Nuclear Radius,1,Medium,3F,,4.5F,,6F,,10F,,2
"When P-N junction diode is forward biased, the width of depletion layer:",,Physics,Electronics,Diode,1,Medium,Increases,,Decreases,,Remains unchanged,,None,,2
In β-decay,,Physics,Nuclear Physics,Radioactivity,1,Medium,Atomic number increases by one and mass no. remains same,,Atomic number decreases by one and mass no. decreases by one,,Atomic number remains const and mass no. remains constant,,None,,1
"If the mass of α-particle is 4 times that of proton, then the ratio of radius traced by α-particle to proton in transverse magnetic field is:",,Physics,Modern Physics,Motion of Charged Particle,1,Hard,1:2,,2:1,,1:1,,4:1,,2
The p.d. of galvanometer of resistance 100Ω is 50 mV. What resistance needs to be connected to convert it into ammeter of range 0-5A?,,Physics,Electricity,Ammeter Conversion,1,Hard,1000Ω in series,,1000Ω in parallel,,0.01Ω in series,,0.01Ω in parallel,,3
Modulus of rigidity is:,,Physics,Properties of Matter,Elasticity,1,Medium,Bulk stress by bulk strain,,Stress by Strain,,Bulk stress by shear strain,,Shear stress by shear strain,,4
The momentum of body of mass m and moving with kinetic energy E is:,,Physics,Mechanics,Momentum,1,Medium,√(2mE),,√(2mE),,√(mE/2),,√(E/2m),,2
A body starting from rest having uniform acceleration travels for time T. What is the ratio of distances covered by it in first T/2 to last T/2 seconds?,,Physics,Mechanics,Motion,1,Medium,1:3,,1:2,,1:5,,1:1,,1
A reading in Celsius scale is 40°C then reading in Fahrenheit scale is:,,Physics,Heat,Temperature Conversion,1,Easy,104°F,,40°F,,0°F,,84°F,,1
The amount of heat required to melt 1 gm of ice without change in temperature is:,,Physics,Heat,Latent Heat,1,Medium,80 cal,,80 Kcal,,740 cal,,740 Kcal,,1
Refracting angle of a prism is A and minimum deviation is (180°–2A). The refractive index of the prism is:,,Physics,Optics,Prism,1,Hard,sin(A/2),,cos(A/2),,tan(A/2),,cot(A/2),,2
Lenz’s law follows the principle of conservation of:,,Physics,Electromagnetism,Lenz’s Law,1,Medium,Charge,,Mass,,Linear momentum,,Energy,,4
"A gas has a pressure P, volume V and temperature 500K. The pressure is doubled at constant volume and then the volume is reduced to one quarter at constant pressure. The final temperature of the gas in K is:",,Physics,Thermodynamics,Gas Laws,1,Hard,125,,250,,500,,1000,,4
The electric bulbs rated 60 W and 40 W are connected in series in a circuit. What will be the current flowing in the bulb of 60 W if the current flowing in the other is 1.5 A?,,Physics,Electricity,Circuits,1,Medium,1.0 A,,1.5 A,,2.0 A,,2.5 A,,2
Melting point of ice:,,Physics,Heat,Melting Point,1,Medium,Decrease with decrease of pressure,,Increase with increase of pressure,,Is independent of pressure,,Decrease with the increase of pressure,,4
Focal length of a convex lens will be maximum for:,,Physics,Optics,Convex Lens,1,Medium,Yellow light,,Blue light,,Green light,,Red light,,4
