The focal length of objective of an astronomical telescope is 1m and magnifying power is 20. The length of telescope for relaxed eye is,,Physics,Optics,Telescope,2,Medium,85 cm,,95 cm,,105 cm,,115 cm,,3
Light of wavelength 6328 Å is incident on a slit having width 0.2mm. The width of central maxima from minimum to minimum is,,Physics,Wave Optics,Diffraction,2,Medium,0.09°,,0.18°,,0.36°,,0.72°,,3
The activity of radioactive source is 1.6 curie and has half life 2.5 days. The activity after 10 days will be,,Physics,Modern Physics,Radioactivity,2,Medium,0.8 curie,,0.16 curie,,0.4 curie,,0.2 curie,,2
The wavelength of first member of Paschen series is 18800 Å then shortest wavelength of same series is,,Physics,Modern Physics,Hydrogen Spectrum,2,Medium,1160 Å,,12850 Å,,8225 Å,,9252 Å,,4
The number of Faradays of charge required to reduce 1 mole of Cr₂O₇²⁻ in acidic medium is,,Chemistry,Electrochemistry,Faraday's Law,2,Medium,6,,12,,3,,4,,1
4.41 grams of a dibasic acid was dissolved in 250 ml of solution. 25 ml of the solution required 14 ml of 0.5 N NaOH for complete neutralization. The molecular weight of acid is,,Chemistry,Acid-Base,Neutralization,2,Hard,90,,98,,126,,112,,2
The conversion of molecules of A and B follows a second order kinetics. Doubling the concentration of A will increase the rate of formation of B by a factor of,,Chemistry,Kinetics,Order of Reaction,2,Medium,2,,4,,1/2,,1/4,,2
The gas formed by roasting of iron pyrite is a/an,,Chemistry,Metallurgy,Roasting,2,Easy,oxidant,,reductant,,bleacher,,all of these,,1
In the sequence of reaction: C₆H₅N₂Cl →(H₃PO₂)→ C₆H₆ →(CH₃Cl/AlCl₃)→ C₆H₅CH₃,,Chemistry,Organic Chemistry,Reaction Sequence,2,Medium,Benzene,,Toluene,,Chlorobenzene,,Xylene,,2
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
"Consider the reaction, CaCO₃(s) ⇌ CaO(s) + CO₂(g). In closed container at equilibrium, what would be the effect of addition of CaCO₃ on the equilibrium concentration of CO₂?",,Chemistry,Equilibrium,Le Chatelier's Principle,2,Medium,Increases,,Decreases,,Remains unaffected,,Data is insufficient,,3
A solution of SO₂ in water reacts with H₂S precipitating sulphur. Here SO₂ acts as,,Chemistry,Redox,Oxidizing/Reducing Agent,2,Medium,An oxidizing agent,,A reducing agent,,Acid,,Catalyst,,1
The oxidation number of ‘S’ in Marshall’s acid is,,Chemistry,Redox,Oxidation Number,2,Medium,=+7,,=+6,,=+4,,5,,1
"Let f(x) = αx / (x – 1), x ≠ 1 then for what values of α is f(f(x)) = x?",,Mathematics,Functions,Composite Functions,2,Medium,√2,,–√2,,2,,–2,,4
The value of the determinant |1 1 1; 1+a 1 1; 1 1+a 1| is,,Mathematics,Matrices,Determinants,2,Medium,a(1 – 2a),,a(1 + 3a),,a(1 – 3a),,a(1 + 2a),,1
"If n is not a multiple of 3, then the coefficient of xⁿ in the expansion of logₑ(1 + x + x²) is",,Mathematics,Algebra,Series Expansion,2,Hard,n,,2,,1,,0,,4
The maximum number of different squares which can be formed on a chessboard is,,Mathematics,Permutation,Counting,2,Medium,64,,65,,204,,1296,,4
"Equation of the curve passing through (1, 1) and satisfying the differential equation dy/dx = 2y/x (x > 0, y > 0) is given by",,Mathematics,Calculus,Differential Equations,2,Hard,x² = y,,x = y²,,x = 2y,,y = x²,,4
If the pair of lines 5x² – pxy – 5y² = 0 and 3x² – qxy – 3y² = 0 be such that each pair bisects the angle between the other pair then,,Mathematics,Coordinate Geometry,Pair of Lines,2,Hard,pq = 5,,pq = –20,,p = –20,,q = –20,,2
"The range and its coefficient from the following data: X = 0–10, 10–20, 20–30, 30–40, 40–50; f = 3, 4, 5, 6, 7",,Mathematics,Statistics,Range,2,Medium,"6, 0.3",,"40, 0.5",,"50, 1",,"50, 0.5",,4
If the tangents to the parabola y² = 4ax drawn at points 't₁' and 't₂' meet on the axis then,,Mathematics,Conic Sections,Parabola,2,Medium,t₁t₂ = –1,,t₁t₂ = 2,,t₁t₂ = 4,,t₁ + t₂ = 0,,4
"The projection of a line segment joining two end points (1, 2, 3) and (3, 4, 5) on a line with direction cosines 1/√3, 1/√3, 1/√3 is",,Mathematics,3D Geometry,Projection,2,Medium,√3,,2√3,,√2,,6√3,,2
"If y = √logx + √logx + √logx + ..., then dy/dx =",,Mathematics,Calculus,Differentiation,2,Hard,2y – 1 / x(2y – 1),,2y – 1 / x(y – 1),,x(2y – 1),,x(y – 1),,1
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
The chance that A can solve the problem is 3/5 and the chance that B can solve the problem is 2/5. Find the probability that the problem is solved by A & B.,,Mathematics,Probability,Independent Events,2,Medium,1/5,,2/5,,3/5,,4/5,,4
∫ dx / √(x – α)(x – β) =,,Mathematics,Calculus,Integration,2,Medium,log(√(x – α) – √(x – β)),,2log(√(x – α) + √(x – β)) + c,,tan⁻¹(√(x – α)/(x – β)),,sin⁻¹(√(x – α)/(x – β)),,2
The area bounded by the curve x² = 4a (y – 2a) and line y = 6a is,,Mathematics,Calculus,Area Under Curve,2,Medium,32a²/3,,8a²/3,,16a²/3,,32a²/3√a,,1
"If a × b = λ c ≠ 0 then for any scalar λ,",,Mathematics,Vectors,Vector Triple Product,2,Medium,a · b = –λb,,b · a = –λb,,a – b = λ(c – b),,a – b = λ(c – a),,4
If the area of ΔABC be A then a²sin2B + b²sin2A =,,Mathematics,Trigonometry,Triangle Properties,2,Medium,2A,,4A,,b,,A/2,,2
"The metal becomes plastics, means",,English,Comprehension,Reading,2,Easy,the metal becomes plastics,,the metal is converted into plastics,,the metal is molded into shapes,,the metal behaves like plastics,,4
One statement of advice is made for,,English,Comprehension,Reading,2,Easy,increasing temperature of iron,,taking care for surfaces,,oxidation of metal in high temperature,,use of different types of weld,,2
The best suitable title of this text is,,English,Comprehension,Title,2,Easy,objective of the welding,,importance of flux in welding,,different types of welding,,process of pressure welding,,4
What might be the topic of the following paragraph?,,English,Comprehension,Topic Identification,2,Easy,another method of weld,,methods of joining metals,,welding steel,,importance of welding,,4
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
A car moving with speed of 50 km/hr can be stopped by brakes at least 6 m. If same car is moving at a speed of 100 km/hr then minimum distance at which car can be stopped is,,Physics,Mechanics,Laws of Motion,1,Medium,6 m,,12 m,,18 m,,24 m,,4
A particle performs uniform circular motion with an angular momentum L. If the frequency of particle motion is doubled and radius is halved then new angular momentum becomes,,Physics,Mechanics,Rotational Motion,1,Hard,2L,,4L,,L/2,,L/4,,2
The velocity of wave is 330 m/s. The path difference of 40 cm is equivalent to phase difference of 1.6π. The frequency of wave is,,Physics,Waves,Wave Motion,1,Medium,165 Hz,,150 Hz,,660 Hz,,330 Hz,,3
A gas at 250 K is heated in a vessel through 1°C then % increase in pressure will be,,Physics,Heat,Gas Laws,1,Easy,0.1%,,0.2%,,0.3%,,0.40%,,3
"Air filled parallel plate capacitor is charged to potential V₁, is connected to an uncharged identical parallel plate capacitor of dielectric constant k then common potential become V₂. The value of k is",,Physics,Electrostatics,Capacitors,1,Hard,(V₁ – V₂)/(V₁ + V₂),,V₁/(V₁ – V₂),,V₁ – V₂/V₂,,V₁ – V₂/V₁,,1
Sensitivity of a potentiometer can be increased by,,Physics,Current Electricity,Potentiometer,1,Medium,increasing emf of cell,,increasing length of potentiometer wire,,decreasing length of potentiometer,,all of above,,4
A thin convex lens is placed in contact of thin concave lens of same focal length. The focal length of combination will be,,Physics,Optics,Lens Combination,1,Easy,f,,2f,,0,,∞,,3
"During x-ray production, the current is increased then",,Physics,Modern Physics,X-ray,1,Medium,penetration power increases,,penetration power decreases,,intensity of x-ray increases,,intensity of x-ray decreases,,3
The current gain in a transistor is 40 and emitter current is 8.2 mA then base current is,,Physics,Electronics,Transistor,1,Medium,0.02 mA,,0.2 mA,,2 mA,,0.4 mA,,2
The momentum of particle is p = 2cosθ î + 2sinθ ĵ. The angle between force acting on particle and momentum will be,,Physics,Mechanics,Vectors,1,Medium,45°,,90°,,120°,,135°,,2
Two water droplets merge with each other to form a larger droplet the energy is,,Physics,Properties of Matter,Surface Tension,1,Medium,liberated,,absorbed,,neither liberated nor absorbed,,mass is converted into energy,,1
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
A mark on table is viewed by a rectangular glass of thickness ‘d’ and refractive index ‘μ’ then the mark will appear to be raised by,,Physics,Optics,Refraction,1,Medium,(μ + 1)/μ · d,,(μ – 1)/μ · d,,(μ + 1)/d,,(μ – 1) · d,,2
Three charges of +2C are placed at corner of an equilateral triangle. The force between two charges is F then net force on either charge will be,,Physics,Electrostatics,Coulomb’s Law,1,Medium,3F,,2F,,√2F,,√3F,,4
The minimum potential required to excite the hydrogen atom in ground state is,,Physics,Modern Physics,Hydrogen Atom,1,Easy,13.6 V,,10.2 V,,3.4 V,,12.1 V,,1
Mass of water formed by heating 32 gm of H₂ with 32 gm of oxygen is,,Chemistry,Stoichiometry,Limiting Reagent,1,Medium,35 gm,,36 gm,,27 gm,,30 gm,,4
6.72 gm of metal displaced 112 ml of H₂ at NTP. The eq. wt. of metal is,,Chemistry,Redox,Equivalent Weight,1,Medium,12,,9,,6,,4,,1
Which of these has sp hybridization?,,Chemistry,Chemical Bonding,Hybridization,1,Easy,NO₂⁺,,C₂H₂,,HCN,,All,,4
MnO₄⁻ + H⁺ + S²⁻ → Mn²⁺ + H₂O + S. In the above reaction the eq. wt. of MnO₄⁻ is,,Chemistry,Redox,Equivalent Weight,1,Medium,F.M./2,,F.M./5,,F.M./6,,F.M./7,,4
Which of the following is an example of acid salt,,Chemistry,Acid-Base,Salt Types,1,Medium,NaH₂PO₂,,NaHCO₃,,NaNO₃,,All,,2
Which of these is incorrect reaction?,,Chemistry,Inorganic,Halogen Displacement,1,Medium,Cl₂ + Br⁻ → Br₂ + Cl⁻,,Br₂ + Cl⁻ → Cl₂ + Br⁻,,Cl₂ + I⁻ → I₂ + Cl⁻,,Br₂ + I⁻ → I₂ + Br⁻,,2
If metal contains its own oxide as impurity then refining process utilized is called,,Chemistry,Metallurgy,Refining,1,Medium,poling,,zone-refining,,liquation,,thermite process,,1
Which of the heat treatment process of steel gives hard & brittle type of steel?,,Chemistry,Metallurgy,Heat Treatment,1,Medium,tempering,,annealing,,quenching,,all,,3
Shifting of π-electrons at the cost of attracting agent is called,,Chemistry,Organic Chemistry,Electronic Effects,1,Medium,inductive effect,,electromeric effect,,mesomeric effect,,hyperconjugative effect,,2
Haloalkane undergoes dehydrohalogenation when heated with,,Chemistry,Organic Chemistry,Elimination Reaction,1,Easy,conc. H₂SO₄,,Mg,,alcoholic KOH,,aq. KOH,,3
"The gas formed by hydrolysis of calcium carbide, on passing through mixture of dil. HgSO₄ & dil. H₂SO₄ results",,Chemistry,Organic Chemistry,Reactions of Hydrocarbons,1,Medium,acetaldehyde,,glyoxal,,acetic acid,,glycol,,1
Atomic number of second transition series lies from,,Chemistry,Periodic Table,Transition Elements,1,Medium,38 to 47,,39 to 48,,40 to 49,,41 to 50,,3
‘Westron’ is,,Chemistry,Organic Chemistry,Nomenclature,1,Medium,"1,2-dichloroethane",,"1,1-dichloropropane",,"1,3-dichloropropane",,"1,1,2,2-tetrachloroethane",,1
Which of the following groups shows +I and –I effect but +M effect?,,Chemistry,Organic Chemistry,Effects,1,Medium,–X,,–NO₂,,–NH₂,,–CHO,,3
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
Let f(x + 1/x) = x² - 1/x² (x ≠ 0) then f(x) =,,Mathematics,Functions,Functional Equation,1,Medium,x + 1/x,,x² - 1,,x² - 2,,x² + 2,,3
If y = 1 + 1/x + 1/x² + … + ∞ and,x,> 1 then dy/dx =,,Mathematics,Series,Infinite Series,1,Medium,1 / (1 - x)²,,-x / (1 - x)²,,x / (1 - x)²,,x² - 1 / x²
lim (sin x - cos x) / (x - π/4) as x → π/4,,Mathematics,Limits,Trigonometric Limit,1,Medium,√2,,-√2,,2,,0,,1
The area bounded by parabola y² = x and latus rectum is,,Mathematics,Conic Section,Area,1,Medium,1/3,,4/3,,3/4,,1/2,,2
The limits for correlation coefficient are,,Mathematics,Statistics,Correlation,1,Easy,"(-1, 1)",,"(1, -1)",,"(0, 1)",,"(-1, 0)",,1
"If A and B are two matrices, then from the following find the correct relation",,Mathematics,Matrices,Matrix Algebra,1,Medium,(AB)ᵀ = BᵀAᵀ,,(AB)⁻¹ = A⁻¹B⁻¹,,A⁻¹ adj(A) = A,,(AB)⁻¹ = B⁻¹A⁻¹,,4
1 / √(5 + 4x) can be expanded by binomial theorem if,,Mathematics,Binomial Theorem,Expansion,1,Medium,x < 1,,,x,< 1,,,x,< 5/4
The length of latus rectum of the conic represented by x = e^t + e⁻ᵗ and y = e^t - e⁻ᵗ is,,Mathematics,Conic Section,Rectum Length,1,Medium,2,,4,,8,,2√2,,4
a.( b × a ) =,,Mathematics,Vectors,Vector Product,1,Easy,0,,1,,,a,²,,-1
If sin(sin⁻¹(1/5 + cos⁻¹ x)) = 1 then x =,,Mathematics,Trigonometry,Inverse Functions,1,Medium,1,,0,,4/5,,1/5,,3
A - B is equal to,,Mathematics,Sets,Set Operations,1,Easy,(A ∪ B) - (A ∩ B),,A ∩ Bᶜ,,A ∩ B,,B - A,,2
The probability that there are 5 Saturdays on the month of June is,,Mathematics,Probability,Calendar,1,Medium,2/7,,1/7,,3/5,,5/7,,2
The point on x² + y² = 36 where tangent is parallel to x-axis is,,Mathematics,Coordinate Geometry,Circles,1,Medium,"(±6, 0)",,"(0, ±6)",,"(±3, 0)",,"(3√2, 3√2)",,2
∫ e^(x log x + 1) dx =,,Mathematics,Calculus,Integration,1,Hard,eˣ log x,,eˣ log x + c,,eˣ sin x + c,,x + c,,2
The area bounded by the line y = mx + c with co-ordinate axes,,Mathematics,Coordinate Geometry,Area,1,Medium,c² / m,,(1/2)(c² / m),,(1/2)(c² m),,c²,,2
The direction ratios of line normal to plane x + y + 2z + 3 = 0,,Mathematics,3D Geometry,Direction Ratios,1,Easy,"1, 2, 1",,"1, 1, 3",,"1, 1, 1",,"-1, 1, 1",,1
"If α is a complex number such that α² + α + 1 = 0, then α¹¹ is",,Mathematics,Complex Numbers,Powers of Complex,1,Medium,α,,1,,-1,,α²,,4
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
The sum of terms equidistant from the beginning and end is always constant then the sequence is,,Mathematics,Sequences,Arithmetic/Geometric Series,1,Medium,G.P.,,A.P.,,H.P.,,Arithmetic O-geometric,,2
The formula log(1 + x) = x - x²/2 + x³/3 - x⁴/4 + … is valid for,,Mathematics,Calculus,Series Expansion,1,Medium,all real x,,-1 < x ≤ 1,,-1 ≤ x ≤ 1,,-1 ≤ x < x,,3
"The measures of the sides of a triangle are 3, 5, 7, then the greatest angle is",,Mathematics,Geometry,Triangle Properties,1,Medium,60°,,90°,,120°,,160°,,3
The phonemic transcription of ‘daylight’ is,,English,Phonetics,Transcription,1,Medium,/deləut/,,/dei:lət/,,/dələt/,,/deaʊt/,,2
The word ‘divinity’ has its primary stress on the … syllable.,,English,Phonetics,Word Stress,1,Medium,1st,,2nd,,3rd,,All of these,,2
He sat … the chair.,,English,Grammar,Preposition,1,Easy,on,,in,,upon,,at,,1
The dog sprang … a cat.,,English,Grammar,Preposition,1,Easy,upon,,on,,at,,in,,1
My means … limited.,,English,Grammar,Subject-Verb Agreement,1,Easy,is,,are,,was,,has,,1
Much pains … being taken to maintain law and order.,,English,Grammar,Subject-Verb Agreement,1,Easy,is,,are,,were,,have,,2
Apprise:,,English,Vocabulary,Synonyms,1,Easy,acquaint,,inform,,notify,,all of these,,4
We … that you would solve this problem.,,English,Grammar,Tense,1,Easy,hoped,,hope,,had hoped,,have hoped,,3
I heard him … the house.,,English,Grammar,Infinitive vs Bare Verb,1,Easy,leave,,left,,to leave,,leaves,,1
He always prays … god.,,English,Grammar,Preposition,1,Easy,by,,with,,at,,nothing,,4
Choose the correct sentence.,,English,Grammar,Sentence Correction,1,Medium,Your chair is not made of wood.,,Your chair is not made from wood.,,Your chair is not made out wood.,,All of these,,1
The passive form of ‘speak the truth.’ is,,English,Grammar,Voice,1,Easy,let the truth be spoken,,the truth be spoken,,the truth should be spoken,,all of these,,4
A body is thrown vertically upwards then it cover same distance in 5th and 6th second then velocity of projection is,,Physics,Kinematics,Equations of Motion,1,Medium,50 m/s,,15 m/s,,60 m/s,,40 m/s,,3
A force of 5N can produce an acceleration of 8 m/s² on a body of mass m₁ and same force can produce an acceleration of 24 m/s² on mass m₂. The acceleration on both mass tied together by same force is,,Physics,Newton’s Laws,System of Particles,1,Medium,7 m/s²,,6 m/s²,,5 m/s²,,4 m/s²,,2
Energy required to move a body of mass m from an orbit of radius 2R to 3R around earth of radius R is,,Physics,Gravitation,Orbital Energy,1,Medium,(mgR)/12,,(3mgR)/3,,(mgR)/8,,(mgR)/6,,1
A metallic sphere with an internal cavity weighs 40g in air and 20g in water. The density of material is 8g/cc then volume of cavity is,,Physics,Fluids,Buoyancy,1,Medium,100 cc,,15 cc,,20 cc,,25 cc,,3
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
The work done in increasing the temperature of 1 mole of ideal gas by 30°C if it expand under V ∝ T² is,,Physics,Thermodynamics,Work Done,1,Medium,10 R,,20 R,,30 R,,40 R,,3
A number of capacitors each of capacitance 1μF and each one gets punctured if potential difference exceeds 500V. The capacitor of capacitance 2μF across which 3000V is applied then no. of capacitors are,,Physics,Capacitors,Series/Parallel Combination,1,Medium,6,,8,,12,,72,,3
The effective resistance across A and B is,,Physics,Circuits,Series & Parallel,1,Hard,3/2 Ω,,3 Ω,,6 Ω,,2 Ω,,1
A circular disc of 10cm in diameter rotates at 1800 rev/min about an axis through its centre and at right angle of disc. A uniform field of induction 1T is perpendicular to disc. The potential difference between rim and centre is,,Physics,EMI,Rotating Disc,1,Hard,0.023 V,,0.23 V,,0.46 V,,4.6 V,,3
An electron is making 6.6×10¹⁵ rev/s around nucleus in hydrogen atom of radius 0.528 Å. The magnetic induction at centre will be,,Physics,Magnetism,Biot-Savart Law,1,Medium,6 T,,13 T,,25 T,,32 T,,2
Light of 6000 Å incident on a slit. The first minimum of diffraction pattern is obtained at 4mm from centre. The screen is at a distance of 2m from slit then width of slit is,,Physics,Wave Optics,Diffraction,1,Medium,0.3 mm,,0.2 mm,,0.15 mm,,0.1 mm,,4
A luminous object is placed at 20 cm from surface of convex mirror and a plane mirror is set so that virtual image of two mirror coincide. The plane mirror is at 12 cm from object then focal length of convex mirror is,,Physics,Optics,Mirrors,1,Medium,5 cm,,10 cm,,20 cm,,40 cm,,2
Earth receive 8.4 J/min/m² energy from sun. When the solar energy fall on 10 × 10⁴ m² area is concentrated in cup having 100g water at 0°C. The time in which water boil is,,Physics,Heat,Energy Conversion,1,Medium,3 sec,,6 sec,,9 sec,,12 sec,,4
A radioactive source of Co has active 2 hrs emits radiations of intensity 64 times the safe level. The minimum time after which it is safe to work with this source is,,Physics,Nuclear Physics,Radioactivity,1,Medium,6 hrs,,12 hrs,,24 hrs,,128 hrs,,4
0.4g of CaCO₃ was treated with 100ml of 0.1N HCl. Excess of acid required x ml of 0.1N NaOH value of ‘x’ is,,Chemistry,Volumetric Analysis,Back Titration,1,Medium,25 ml,,15 ml,,10 ml,,20 ml,,3
The current required to reduce concentration of 100 ml of 0.1M AgNO₃ to 0.04M solution in 5 min is,,Chemistry,Electrochemistry,Electrolysis,1,Medium,0.93 A,,1.93 A,,2.93 A,,0.965 A,,2
The solubility of AgCl in presence of 10⁻²M NaCl is (Ksp of AgCl = 1.1×10⁻¹⁰),,Chemistry,Equilibrium,Solubility Product,1,Medium,1.1×10⁻⁸,,4.79×10⁻⁵,,1.1×10⁻⁵,,10⁻⁴,,1
Which of these is not related to preparation of N₂?,,Chemistry,Nitrogen,Preparation Methods,1,Easy,Decomposition of ammonium dichromate,,Oxidation of ammonia with bleaching powder,,Heating mixture of potassium nitrate and ammonium chloride,,Heating mixture of sal ammoniac & slaked lime,,4
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
The no. of unpaired electrons present in ground state of Cr atom is,,Chemistry,Atomic Structure,Electron Configuration,1,Easy,6,,5,,4,,3,,2
Charring of sugar by conc. H₂SO₄ is its,,Chemistry,Chemical Reaction,Reaction Type,1,Medium,Oxidizing action,,Reducing action,,Dehydrating action,,Dehydrogenation action,,3
Action of K₂Cr₂O₇ in acidic medium the eq. wt. of K₂Cr₂O₇ is (mol. wt of K₂Cr₂O₇ is M),,Chemistry,Redox Reactions,Equivalent Weight,1,Medium,M,,M/2,,M/4,,M/6,,2
The product (C) in the reaction is: RCOOH + NH₃ → (A) → (B) P₂O₅ → (C),,Chemistry,Organic,Reaction Mechanism,1,Medium,RNH₂,,RCN,,RNC,,RCONH₂,,4
Solution of the differential equation: dy/x = tan⁻¹y dx,,Mathematics,Differential Equations,General Solution,1,Hard,log tan x = y,,2xy sec(y²) = c,,sin⁻¹(y) = cx,,log(y) = eˣ,,4
In ∆ABC if 3a = b + c then cot A =,,Mathematics,Trigonometry,Triangle Identities,1,Medium,√3,,2,,√2,,C/2,,1
ABCD is a parallelogram with AC and BD as diagonals then AC - BD =,,Mathematics,Vectors,Parallelogram Law,1,Medium,√3AB,,3AB,,2AB,,4AB,,3
If f(x) =,sin4x + 3,"then, the maximum and minimum values of f(x) are",,Mathematics,Functions,Absolute Function,1,Medium,"2, 4",,"4, 3",,4.1,,3.1
Value of ∫₀^{π/2} sinx / (sinx + cosx) dx is,,Mathematics,Calculus,Definite Integration,1,Medium,0,,π/4,,π/3,,π/2,,2
"The point (a, a) lies inside the parallel lines represented by",x + y,#ERROR!,,Mathematics,Coordinate Geometry,Straight Lines,1,Medium,a < 1,,b < 2,,,a,< 1
Imaginary part of log(1 + i) is,,Mathematics,Complex Numbers,Logarithm,1,Medium,π/4,,π/8,,4,,π/2,,1
"If H.M. between a and b be H, then H =",,Mathematics,Statistics,Harmonic Mean,1,Easy,H = ab / (a - b),,H = ab / (a + b),,H = a + b / ab,,H = a - b / ab,,2
"If the line 3x + 4y + k = 0 cuts the circle x² + y² = 4 at two distinct points, then k lies in",,Mathematics,Coordinate Geometry,Circle-Line,1,Medium,"(0, 10)",,"(-5, 5)",,"(-10, 10)",,"(-20, 20)",,4
If y = tan⁻¹[(1 + cosx)/(1 - cosx)]² then dy/dx =,,Mathematics,Calculus,Derivatives,1,Hard,-1/2,,1/2,,1,,0,,4
"If f’(x) = g(x), then the value of ∫ f’(x)g(x) dx =",,Mathematics,Calculus,Integration,1,Medium,f(x)g(x) + 2,,1/2 (f(x))² + c,,(g(x))² + c,,2g(x)f(x) + c,,2
"If n = 7, Σd = -14 and Σd² = 460 then the std. deviation of the data is",,Mathematics,Statistics,Standard Deviation,1,Medium,7.85,,6.24,,5.34,,3.42,,3
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
The line lx + my + n = 0 will be tangent to the parabola y² = 4ax if,,Mathematics,Coordinate Geometry,Tangents to Parabola,1,Medium,lm = an,,lm = an²,,ln = am,,ln = am²,,4
3 people are selected at random from a group of 7 men and 6 women. What is the probability that 2 men and 1 woman are selected?,,Mathematics,Probability,Combinatorics,1,Medium,C₂⁷ / C₃¹³,,C₂⁷ × C₁⁶ / C₃¹³,,C₃¹³,,(C₂⁷ + C₁⁶) / C₃¹³,,2
"The equation of the plane through (3, 2, 1) and perpendicular to the line joining (–5, 3, 7) and (2, –4, 5) is",,Mathematics,3D Geometry,Equation of Plane,1,Medium,7x – 7y – 2z + 5 = 0,,x – 2y + z = 0,,7x – 7y – 2z – 5 = 0,,7x – 7y – 2z = 0,,3
Hanley: (From the passage),,English,Reading Comprehension,Inference,1,Medium,Forgot arrange exhibition,,allowed his agent to arrange the exhibition,,was happy about exhibition,,helped his agent arrange the exhibition,,2
Organization was something that Green:,,English,Reading Comprehension,Vocabulary/Inference,1,Medium,believed in,,enjoyed,,practical,,did well,,4
The exhibition was,,English,Reading Comprehension,Comprehension,1,Easy,taken away,,successful,,rapid,,unusual,,2
During the exhibition Hanley:,,English,Reading Comprehension,Inference,1,Medium,met everyone,,stayed at home,,met on one,,refused invitations,,4
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
The position vector of a particle is given by r = a cosωt î + a sinωt ĵ then path followed by particle will be,,Physics,Kinematics,Motion in 2D,1,Medium,circle,,straight line,,ellipse,,parabola,,1
The speed of sound in gas is v and rms speed of molecules is C_rms. The ratio of v / C_rms is,,Physics,Kinetic Theory,Sound & Molecular Motion,1,Medium,1/2,,2:1,,1/√2,,√2:1,,3
When an iron ball is heated then % increase will be largest in,,Physics,Thermal Expansion,Linear/Volumetric,1,Easy,diameter,,volume,,surface area,,density,,2
The electric field strength at a distance ‘r’ from a point charge Q is E. The electric field strength if distance of point increases by 2r is,,Physics,Electrostatics,Electric Field,1,Medium,E/2,,E/4,,E/2²,,E/9,,4
A cell of emf 2V when short circuited gives a current of 4A. The internal resistance of source is,,Physics,Current Electricity,Internal Resistance,1,Easy,0.5 Ω,,2 Ω,,1 Ω,,2.5 Ω,,1
"A convex lens of focal length ‘f’ produces a real image n times the size of object, the distance of object from lens is",,Physics,Optics,Lens Formula,1,Medium,(n - 1)f,,(n + 1)f,,((n + 1)/n)f,,((n - 1)/n)f,,3
The de Broglie’s wavelength of an electron in first Bohr orbit is,,Physics,Modern Physics,Wave-Particle Duality,1,Medium,Equal to circumference of first orbit,,Equal to twice the circumference of 1st orbit,,Equal to half of circumference of 1st orbit,,Equal to one fourth of circumference of 1st orbit,,1
In common emitter the current gain is 60 and output resistance is 5000Ω. The input resistance in transistor is 500Ω then voltage gain is,,Physics,Electronics,Amplifier,1,Medium,500,,460,,600,,560,,3
A ball is projected from top of tower at an angle 60° with vertical. The vertical component of velocity,,Physics,Motion in 2D,Projectile Motion,1,Medium,increases continuously,,decreases continuously,,remain unchanged,,first decreases then increases,,2
Water rises to a height 1.25 cm in a capillary tube. If height of tube is only 1 cm above the surface of water then,,Physics,Properties of Matter,Surface Tension,1,Medium,continuously flow out of tube,,stay at top of tube,,can depressed a little below at upper end,,do not rise in tube,,3
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
The luminous efficiency of a lamp is 2 lm/w and luminous intensity is 42 Cd then power of lamp is,,Physics,Heat and Light,Photometry,1,Medium,62 W,,76 W,,38 W,,264 W,,3
Two charged spheres separated by a distance ‘d’ exert a force ‘F’ on each other. If the sphere are immersed in liquid of dielectric constant 2 then force will be,,Physics,Electrostatics,Dielectric Medium,1,Medium,F/2,,b. F,,2F,,4F,,1
